HealthcareID,Name,FacilityType,Source,SourceID,Address,City,State,SubmarketID,SubmarketName,Hub,Longitude,Latitude
hifld_57f57eb14ec1f192,CENTURY HOSPITAL MEDICAL CENTER,Hospital,HIFLD Hospitals,0080132535,CENTURY HOSPITAL MEDICAL CENTER,CENTURY,FL,SM-13,North Escambia,Growth Markets,-87.2575979906547,30.9703938346078
hifld_125907986b15c431,PROVIDENCE HOSPITAL,Hospital,HIFLD Hospitals,0010136685,PROVIDENCE HOSPITAL,MOBILE,AL,SM-02,Central Mobile,Alabama Hub,-88.199079373814,30.6793276572457
hifld_bc5e230911092d1f,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,Hospital,HIFLD Hospitals,0009836617,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,AL,SM-03,North Mobile / Saraland,Alabama Hub,-88.0983348567682,30.7070619802263
hifld_f33d8a181749ff1c,INFIRMARY LTAC HOSPITAL,Hospital,HIFLD Hospitals,0003136607,INFIRMARY LTAC HOSPITAL,MOBILE,AL,SM-03,North Mobile / Saraland,Alabama Hub,-88.08029057505,30.6969006924131
hifld_5b65f641a838fa52,UNIVERSITY OF SOUTH ALABAMA CHILDREN'S AND WOMEN'S HOSPITAL,Hospital,HIFLD Hospitals,0090736604,UNIVERSITY OF SOUTH ALABAMA CHILDREN'S AND WOMEN'S HOSPITAL,MOBILE,AL,SM-03,North Mobile / Saraland,Alabama Hub,-88.0778076404102,30.6976838166549
hifld_915d1e3bee8c6872,JACKSON HOSPITAL,Hospital,HIFLD Hospitals,0018032446,JACKSON HOSPITAL,MARIANNA,FL,SM-27,Marianna,Panama City Hub,-85.2413148247193,30.7868444128395
hifld_60ab0444fdb00367,CAMPBELLTON-GRACEVILLE HOSPITAL,Hospital,HIFLD Hospitals,0005232440,CAMPBELLTON-GRACEVILLE HOSPITAL,GRACEVILLE,FL,SM-26,Jackson County,Growth Markets,-85.5067445519195,30.9630351634421
hifld_ed60e3206183c30c,DOCTORS MEMORIAL HOSPITAL,Hospital,HIFLD Hospitals,0008132425,DOCTORS MEMORIAL HOSPITAL,BONIFAY,FL,SM-24,Holmes County,Growth Markets,-85.6830323699479,30.7610808120299
hifld_7224c0fa92e9825e,FORT WALTON BEACH MEDICAL CENTER,Hospital,HIFLD Hospitals,0013932547,FORT WALTON BEACH MEDICAL CENTER,FORT WALTON BEACH,FL,SM-18,Fort Walton,Pensacola Hub,-86.633210019227,30.4544387311626
hifld_2646f162776cd983,SELECT SPECIALTY HOSPITAL - PANAMA CITY,Hospital,HIFLD Hospitals,0034532401,SELECT SPECIALTY HOSPITAL - PANAMA CITY,PANAMA CITY,FL,SM-28,Panama City,Panama City Hub,-85.647789359891,30.1597127951094
hifld_3a46864c317ec915,SACRED HEART HOSPITAL ON EMERALD COAST,Hospital,HIFLD Hospitals,0033132550,SACRED HEART HOSPITAL ON EMERALD COAST,MIRAMAR BEACH,FL,SM-22,Walton and Bay Beaches,Growth Markets,-86.3068563117693,30.3785746707845
