submarket,GEOID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,overlap_area_sqm,overlap_pct_of_bg,population,households,median_household_income,median_age,owner_occupied_units,occupied_housing_units,year
South Baldwin,010030114103,01,003,011410,3,40573858.87145767,1.0000000000000002,1728.0,862.0,52500.0,60.5,733.0,862.0,2023
South Baldwin,010030114191,01,003,011419,1,19159401.59832282,0.840962994326435,2008.0,869.0,75922.0,64.1,738.0,869.0,2023
South Baldwin,010030114112,01,003,011411,2,41204855.47332742,0.9999999999999978,4160.0,1790.0,67911.0,44.2,886.0,1790.0,2023
South Baldwin,010030114131,01,003,011413,1,8272893.883369337,1.0,1268.0,573.0,74609.0,57.1,395.0,573.0,2023
South Baldwin,010030114171,01,003,011417,1,12309360.012533171,1.0000000000000009,1038.0,434.0,87723.0,40.4,232.0,434.0,2023
Pensacola,010030114142,01,003,011414,2,706615.1983521091,0.09650688655048396,2112.0,776.0,90072.0,45.1,636.0,776.0,2023
South Baldwin,010030114142,01,003,011414,2,6570155.289112444,0.8973274741105691,2112.0,776.0,90072.0,45.1,636.0,776.0,2023
South Baldwin,010030114193,01,003,011419,3,2859803.558412058,0.9999999999999999,1269.0,501.0,70490.0,39.0,419.0,501.0,2023
West Baldwin,010030111041,01,003,011104,1,2622241.9152740976,0.9999999999999998,1880.0,887.0,46660.0,37.2,566.0,887.0,2023
West Baldwin,010030107083,01,003,010708,3,15881647.451851042,0.9999999999999994,1765.0,593.0,70774.0,37.5,522.0,593.0,2023
Pensacola,010030116031,01,003,011603,1,10710584.649029456,0.465505889903516,1891.0,926.0,59432.0,61.2,786.0,926.0,2023
South Baldwin,010030116031,01,003,011603,1,11865166.724111851,0.5156866012222563,1891.0,926.0,59432.0,61.2,786.0,926.0,2023
Central Baldwin,010030107061,01,003,010706,1,7459533.582543238,0.981346088244239,1361.0,537.0,116737.0,49.1,398.0,537.0,2023
West Baldwin,010030107061,01,003,010706,1,137052.67336291596,0.01803009576937358,1361.0,537.0,116737.0,49.1,398.0,537.0,2023
South Baldwin,010030114161,01,003,011416,1,18728428.829564545,0.6343940615156617,1863.0,937.0,49335.0,59.7,776.0,937.0,2023
South Baldwin,010030115033,01,003,011503,3,6582449.330792992,1.0000000000000002,2016.0,1204.0,54573.0,47.6,835.0,1204.0,2023
South Baldwin,010030114172,01,003,011417,2,4790799.841885361,1.000000000000001,1322.0,822.0,97352.0,51.3,469.0,822.0,2023
West Baldwin,010030107093,01,003,010709,3,29972373.066333868,1.0,5087.0,1544.0,143508.0,38.0,1365.0,1544.0,2023
Pensacola,010030114141,01,003,011414,1,947696.3515190711,0.11534353543560652,1382.0,578.0,115125.0,61.7,479.0,578.0,2023
South Baldwin,010030114141,01,003,011414,1,7209456.947589476,0.8774585357143607,1382.0,578.0,115125.0,61.7,479.0,578.0,2023
South Baldwin,010030115032,01,003,011503,2,6529346.207587318,1.0,2818.0,1202.0,47960.0,41.0,596.0,1202.0,2023
Central Baldwin,010030114092,01,003,011409,2,4995836.584402341,0.36129456073439503,1963.0,863.0,86083.0,48.3,863.0,863.0,2023
South Baldwin,010030114092,01,003,011409,2,8746214.83936306,0.6325186573039908,1963.0,863.0,86083.0,48.3,863.0,863.0,2023
West Baldwin,010030113004,01,003,011300,4,25280287.071868397,0.9415888891346191,1399.0,681.0,93291.0,62.3,649.0,681.0,2023
Central Baldwin,010030116011,01,003,011601,1,78456725.15607612,0.6035895662708508,1634.0,692.0,58479.0,52.2,549.0,692.0,2023
South Baldwin,010030116011,01,003,011601,1,50456278.00283449,0.3881742819979754,1634.0,692.0,58479.0,52.2,549.0,692.0,2023
North Baldwin,010030101003,01,003,010100,3,23315047.167337246,0.05549757155719022,1383.0,517.0,51507.0,42.9,454.0,517.0,2023
Central Baldwin,010030103001,01,003,010300,1,48680933.821190186,0.8886813785030246,818.0,292.0,99167.0,39.7,238.0,292.0,2023
North Mobile / Saraland,010030103001,01,003,010300,1,5557999.357594934,0.1014625263551617,818.0,292.0,99167.0,39.7,238.0,292.0,2023
Cantonment,010030104001,01,003,010400,1,14186592.504693663,0.04066199073939542,1219.0,344.0,113009.0,36.5,318.0,344.0,2023
Central Baldwin,010030104001,01,003,010400,1,328143181.1670189,0.9405327593214885,1219.0,344.0,113009.0,36.5,318.0,344.0,2023
North Escambia,010030104001,01,003,010400,1,1491844.0463009665,0.004275963292470843,1219.0,344.0,113009.0,36.5,318.0,344.0,2023
South Baldwin,010030111021,01,003,011102,1,60388.27800482157,0.0023182079992669817,3099.0,1270.0,86898.0,36.7,1165.0,1270.0,2023
West Baldwin,010030111021,01,003,011102,1,25875002.260155726,0.9932993488530171,3099.0,1270.0,86898.0,36.7,1165.0,1270.0,2023
Central Baldwin,010030102002,01,003,010200,2,1519700.4871132302,0.014362805818615664,1529.0,475.0,91797.0,34.6,343.0,475.0,2023
North Baldwin,010030102002,01,003,010200,2,102226879.01581556,0.9661540712777815,1529.0,475.0,91797.0,34.6,343.0,475.0,2023
North Escambia,010030102002,01,003,010200,2,1022118.8260804483,0.00966012339078171,1529.0,475.0,91797.0,34.6,343.0,475.0,2023
Central Baldwin,010030110002,01,003,011000,2,76986185.4786385,0.9999999999999994,4179.0,1214.0,67045.0,32.8,1057.0,1214.0,2023
Central Baldwin,010030106002,01,003,010600,2,19283.625687386724,0.01547248696234237,1068.0,301.0,,18.7,128.0,301.0,2023
North Baldwin,010030106002,01,003,010600,2,1169621.8895688336,0.9384624930290527,1068.0,301.0,,18.7,128.0,301.0,2023
Central Baldwin,010030109033,01,003,010903,3,18743552.86386577,0.6092805991456017,3165.0,639.0,74544.0,28.6,526.0,639.0,2023
West Baldwin,010030109033,01,003,010903,3,11787550.590202438,0.3831677984542144,3165.0,639.0,74544.0,28.6,526.0,639.0,2023
Central Baldwin,010030109041,01,003,010904,1,93984204.02444263,1.0000000000000002,2869.0,1123.0,85208.0,51.6,942.0,1123.0,2023
North Baldwin,010030102001,01,003,010200,1,108588780.41458403,0.9333100289223557,1499.0,698.0,47155.0,46.1,477.0,698.0,2023
South Baldwin,010030113003,01,003,011300,3,356906.59475093416,0.026541019208834876,1345.0,491.0,,47.6,491.0,491.0,2023
West Baldwin,010030113003,01,003,011300,3,13003986.354462892,0.9670290678323838,1345.0,491.0,,47.6,491.0,491.0,2023
West Baldwin,010030112024,01,003,011202,4,619485.1978116048,0.9999999999999998,625.0,326.0,,58.8,222.0,326.0,2023
Cantonment,010030109042,01,003,010904,2,636811.8296336033,0.0046147691969522795,2149.0,857.0,49385.0,46.3,733.0,857.0,2023
Central Baldwin,010030109042,01,003,010904,2,137212101.4527137,0.9943316844434157,2149.0,857.0,49385.0,46.3,733.0,857.0,2023
Central Baldwin,010030110001,01,003,011000,1,48764853.15102803,0.8990853080724318,1755.0,866.0,52315.0,54.7,687.0,866.0,2023
West Baldwin,010030110001,01,003,011000,1,5245556.060236721,0.09671314649144432,1755.0,866.0,52315.0,54.7,687.0,866.0,2023
North Mobile / Saraland,010970026002,01,097,002600,2,713156.7517113847,1.0000000000000002,852.0,310.0,,44.6,260.0,310.0,2023
North Mobile / Saraland,010970028001,01,097,002800,1,802323.0447281074,1.0000000000000002,917.0,366.0,75350.0,35.5,299.0,366.0,2023
North Mobile / Saraland,010970028003,01,097,002800,3,546095.6978565558,1.0,886.0,334.0,103750.0,41.0,123.0,334.0,2023
Okaloosa County,010539698011,01,053,969801,1,848824.547772852,0.0016423894264041572,1096.0,433.0,36068.0,48.0,327.0,433.0,2023
Santa Rosa County,010539698011,01,053,969801,1,106651.45064169474,0.00020635974219192644,1096.0,433.0,36068.0,48.0,327.0,433.0,2023
North Baldwin,010030105002,01,003,010500,2,2725633.8034903947,1.0000000000000004,1125.0,509.0,46172.0,39.4,315.0,509.0,2023
Central Baldwin,010030104002,01,003,010400,2,138753922.03557768,0.987160423557614,2220.0,793.0,44427.0,48.8,698.0,793.0,2023
West Baldwin,010030104002,01,003,010400,2,1705965.5761825482,0.01213703855035727,2220.0,793.0,44427.0,48.8,698.0,793.0,2023
Central Baldwin,010030103003,01,003,010300,3,33994397.69241025,0.18345876144855933,1537.0,616.0,70811.0,46.8,499.0,616.0,2023
North Baldwin,010030103003,01,003,010300,3,66536064.98142015,0.35907752164344153,1537.0,616.0,70811.0,46.8,499.0,616.0,2023
North Mobile / Saraland,010030103003,01,003,010300,3,82927437.08452974,0.4475374158792009,1537.0,616.0,70811.0,46.8,499.0,616.0,2023
North Baldwin,010539705002,01,053,970500,2,2063801.2168365242,0.03754658553949614,1191.0,449.0,42417.0,52.5,341.0,449.0,2023
Holmes County,010610506002,01,061,050600,2,46673.04018613951,0.0005985270922079717,971.0,385.0,67798.0,50.7,338.0,385.0,2023
Holmes County,010610501002,01,061,050100,2,531785.8447620424,0.002211472129306736,1132.0,488.0,55369.0,52.7,446.0,488.0,2023
Walton County,010610501002,01,061,050100,2,415629.64404073573,0.0017284276799828303,1132.0,488.0,55369.0,52.7,446.0,488.0,2023
South Baldwin,010030116014,01,003,011601,4,40578860.78981047,0.9999999999999997,1339.0,640.0,53750.0,56.3,536.0,640.0,2023
West Baldwin,010030112011,01,003,011201,1,9750622.54613723,0.9990353963105305,3175.0,1199.0,88279.0,40.0,814.0,1199.0,2023
West Baldwin,010030107041,01,003,010704,1,5902765.107640943,0.9999999999999999,2746.0,1005.0,93486.0,38.1,893.0,1005.0,2023
Central Baldwin,010030109032,01,003,010903,2,5695612.67701614,1.0000000000000002,2899.0,948.0,89758.0,33.3,783.0,948.0,2023
West Baldwin,010030108001,01,003,010800,1,5062372.956791774,1.000000000000001,2196.0,911.0,68315.0,48.6,720.0,911.0,2023
West Baldwin,010030112012,01,003,011201,2,3851843.961829184,1.0000000000000002,1469.0,873.0,49794.0,67.5,566.0,873.0,2023
West Baldwin,010030111022,01,003,011102,2,20008188.925817255,1.000000000000001,2780.0,971.0,89859.0,46.7,760.0,971.0,2023
North Baldwin,010030105004,01,003,010500,4,2901684.5199254216,0.9999999999999992,919.0,454.0,34154.0,36.1,353.0,454.0,2023
Central Baldwin,010030106001,01,003,010600,1,1890580.0131428395,0.7438416364350965,1533.0,591.0,14428.0,35.4,419.0,591.0,2023
North Baldwin,010030106001,01,003,010600,1,477221.0912626708,0.1877608538112414,1533.0,591.0,14428.0,35.4,419.0,591.0,2023
North Baldwin,010030105003,01,003,010500,3,8974747.823927246,1.0000000000000013,1644.0,577.0,103690.0,36.0,544.0,577.0,2023
West Baldwin,010030112022,01,003,011202,2,5068376.161816548,0.9491130605208418,1739.0,824.0,86293.0,63.4,725.0,824.0,2023
South Baldwin,010030113002,01,003,011300,2,4280554.042111487,0.14036105478551839,1168.0,459.0,70114.0,62.6,459.0,459.0,2023
West Baldwin,010030113002,01,003,011300,2,21345867.091595814,0.6999393982209744,1168.0,459.0,70114.0,62.6,459.0,459.0,2023
South Baldwin,010030115012,01,003,011501,2,4293066.20520657,1.0000000000000009,2442.0,866.0,48738.0,38.1,761.0,866.0,2023
North Baldwin,010539705004,01,053,970500,4,1157175.5943926778,0.05481553808053405,2334.0,865.0,59674.0,27.9,670.0,865.0,2023
Walton County,010399630004,01,039,963000,4,29862.9309653956,0.004335675694349341,574.0,269.0,27083.0,49.8,192.0,269.0,2023
North Mobile / Saraland,010970076001,01,097,007600,1,1308252.398106086,1.0,651.0,272.0,35714.0,35.2,148.0,272.0,2023
North Mobile / Saraland,010970075002,01,097,007500,2,685119.4281364,1.0000000000000004,763.0,308.0,26667.0,45.2,258.0,308.0,2023
North Mobile / Saraland,010970007011,01,097,000701,1,449678.36486839096,1.0,769.0,296.0,23889.0,30.9,123.0,296.0,2023
North Mobile / Saraland,010970040002,01,097,004000,2,662714.5004383641,1.0000000000000002,829.0,302.0,,36.2,157.0,302.0,2023
Central Mobile,010970012001,01,097,001200,1,2434899.581532467,0.04250848616027834,1797.0,305.0,47961.0,38.5,147.0,305.0,2023
North Mobile / Saraland,010970012001,01,097,001200,1,41723302.62478786,0.7284055759994184,1797.0,305.0,47961.0,38.5,147.0,305.0,2023
North Mobile / Saraland,010970010021,01,097,001002,1,828516.3492285582,0.9999999999999994,304.0,138.0,48750.0,45.9,79.0,138.0,2023
Central Mobile,010970070002,01,097,007000,2,6228213.826719972,0.999999999999998,1446.0,610.0,59483.0,44.7,484.0,610.0,2023
Holmes County,010610504003,01,061,050400,3,253953.0343887889,0.00280694673162157,628.0,281.0,75428.0,58.4,266.0,281.0,2023
Holmes County,010610505004,01,061,050500,4,140420.55060209884,0.002468305488262004,1671.0,533.0,47813.0,35.1,427.0,533.0,2023
Holmes County,010610503005,01,061,050300,5,1138529.9567331993,0.05045695453316144,836.0,229.0,41250.0,34.6,210.0,229.0,2023
Holmes County,010610503001,01,061,050300,1,337283.9221118427,0.005900424016667792,558.0,203.0,65380.0,51.4,203.0,203.0,2023
Holmes County,010610504004,01,061,050400,4,700075.9425055663,0.006330058045406326,897.0,377.0,73125.0,52.5,335.0,377.0,2023
Central Mobile,010970035011,01,097,003501,1,2209644.74069896,1.0000000000000007,950.0,330.0,81875.0,46.8,308.0,330.0,2023
Central Mobile,010970037082,01,097,003708,2,812845.3676420958,1.0000000000000009,1371.0,661.0,95804.0,46.2,448.0,661.0,2023
Central Mobile,010970037103,01,097,003710,3,1550095.2934566573,1.0000000000000004,1782.0,708.0,56917.0,35.0,333.0,708.0,2023
North Mobile / Saraland,010970005002,01,097,000500,2,292820.88740960025,0.9999999999999998,274.0,108.0,38261.0,55.1,38.0,108.0,2023
North Mobile / Saraland,010970054002,01,097,005400,2,1988693.1777009119,1.0000000000000002,1321.0,520.0,105909.0,45.0,486.0,520.0,2023
Central Baldwin,010030105001,01,003,010500,1,57066.97276107418,0.01923660889165687,1187.0,301.0,58558.0,36.8,206.0,301.0,2023
North Baldwin,010030105001,01,003,010500,1,2862147.4667662857,0.9647964268044196,1187.0,301.0,58558.0,36.8,206.0,301.0,2023
Central Mobile,010970030002,01,097,003000,2,4988246.635772478,0.9999999999999983,1114.0,543.0,41165.0,35.8,212.0,543.0,2023
Central Mobile,010970032052,01,097,003205,2,322969.25876462576,1.0000000000000004,500.0,293.0,,26.7,9.0,293.0,2023
Central Mobile,010970034022,01,097,003402,2,6760293.217977739,1.0000000000000002,2247.0,781.0,41687.0,31.6,392.0,781.0,2023
West Baldwin,010030112023,01,003,011202,3,2403395.4946743436,1.000000000000002,1952.0,910.0,64594.0,56.7,598.0,910.0,2023
West Baldwin,010030112021,01,003,011202,1,7721349.210643703,0.9999999999999994,2102.0,768.0,72386.0,45.5,554.0,768.0,2023
West Baldwin,010030113001,01,003,011300,1,6399575.106803379,0.8495044203741349,1515.0,718.0,,52.7,439.0,718.0,2023
Central Baldwin,010030106003,01,003,010600,3,14237829.810975365,0.961248907297701,1200.0,498.0,36739.0,29.6,316.0,498.0,2023
North Baldwin,010030106003,01,003,010600,3,405110.09508509416,0.02735049100921496,1200.0,498.0,36739.0,29.6,316.0,498.0,2023
South Baldwin,010030115013,01,003,011501,3,2324063.571668889,1.0000000000000002,1583.0,747.0,72188.0,61.9,582.0,747.0,2023
Central Mobile,010970035021,01,097,003502,1,1250783.0290775383,1.0000000000000007,1061.0,435.0,120417.0,41.4,275.0,435.0,2023
Central Mobile,010970037041,01,097,003704,1,465887.7297873483,1.0000000000000007,1209.0,570.0,,45.9,199.0,570.0,2023
Central Mobile,010970037051,01,097,003705,1,1820275.6994281614,1.0,1707.0,883.0,52386.0,41.3,369.0,883.0,2023
Central Mobile,010970037052,01,097,003705,2,853729.5911436928,0.9999999999999996,1501.0,794.0,60161.0,36.1,195.0,794.0,2023
Central Mobile,010970037061,01,097,003706,1,1327495.1404956942,1.0000000000000004,1210.0,765.0,53281.0,32.4,233.0,765.0,2023
Central Mobile,010970037062,01,097,003706,2,1430884.5723474007,1.0000000000000002,1619.0,654.0,71563.0,46.1,568.0,654.0,2023
Central Mobile,010970037072,01,097,003707,2,593749.0854878161,1.0000000000000002,852.0,244.0,84688.0,44.7,232.0,244.0,2023
Central Mobile,010970067021,01,097,006702,1,12932853.156914094,0.9123503804750158,1383.0,559.0,51453.0,45.3,492.0,559.0,2023
South Mobile,010970067021,01,097,006702,1,514888.1695077163,0.03632287567583721,1383.0,559.0,51453.0,45.3,492.0,559.0,2023
Central Mobile,010970064072,01,097,006407,2,75911554.35016577,0.9999999999999994,1760.0,734.0,71096.0,55.4,672.0,734.0,2023
Central Mobile,010970065012,01,097,006501,2,16559700.59623231,1.0000000000000004,2007.0,774.0,64938.0,33.7,675.0,774.0,2023
Central Mobile,010970067023,01,097,006702,3,9308659.231964886,0.5335093313769828,1332.0,390.0,85000.0,30.6,333.0,390.0,2023
South Mobile,010970067023,01,097,006702,3,6753049.388784553,0.3870390755947461,1332.0,390.0,85000.0,30.6,333.0,390.0,2023
Central Mobile,010970070003,01,097,007000,3,15421706.561839245,0.9999999999999998,1073.0,400.0,99142.0,39.4,334.0,400.0,2023
Central Mobile,010970074002,01,097,007400,2,2103406.446553091,1.000000000000001,808.0,249.0,22109.0,21.6,120.0,249.0,2023
Central Mobile,010970074003,01,097,007400,3,2382485.643118241,0.999999999999998,1725.0,637.0,48661.0,32.7,294.0,637.0,2023
Central Mobile,010970074004,01,097,007400,4,1592652.3247651546,1.0000000000000007,413.0,233.0,41875.0,55.3,84.0,233.0,2023
Central Mobile,010970027002,01,097,002700,2,194453.87883923057,0.11702530163184499,1055.0,528.0,15976.0,27.3,143.0,528.0,2023
North Mobile / Saraland,010970027002,01,097,002700,2,1477687.4653331498,0.8892947900061163,1055.0,528.0,15976.0,27.3,143.0,528.0,2023
Central Mobile,010970023021,01,097,002302,1,799579.9130959762,1.0000000000000002,955.0,309.0,37426.0,40.4,159.0,309.0,2023
North Mobile / Saraland,010970048001,01,097,004800,1,1408282.2277765002,0.9999999999999992,225.0,94.0,90556.0,63.2,62.0,94.0,2023
North Mobile / Saraland,010970013022,01,097,001302,2,437079.5234803382,1.0000000000000002,559.0,288.0,22917.0,43.6,101.0,288.0,2023
North Mobile / Saraland,010970026003,01,097,002600,3,2513276.517150957,0.9999999999999994,1343.0,486.0,38276.0,46.9,239.0,486.0,2023
South Mobile,010970072011,01,097,007201,1,20911108.519555993,1.0000000000000002,1351.0,579.0,56278.0,47.8,439.0,579.0,2023
North Mobile / Saraland,010970007023,01,097,000702,3,446076.6110858054,0.9999999999999998,613.0,274.0,44091.0,46.8,194.0,274.0,2023
North Mobile / Saraland,010970012002,01,097,001200,2,516258.704680997,0.9999999999999999,521.0,225.0,,39.8,41.0,225.0,2023
Central Mobile,010970059001,01,097,005900,1,26205402.03973063,0.11390231430219633,2077.0,715.0,43185.0,29.0,489.0,715.0,2023
Central Mobile,010970068022,01,097,006802,2,775119.325815818,1.0,336.0,174.0,,24.9,25.0,174.0,2023
North Mobile / Saraland,010970025011,01,097,002501,1,760667.1739125432,1.0,1613.0,726.0,116387.0,45.2,510.0,726.0,2023
North Mobile / Saraland,010970009022,01,097,000902,2,629169.7177940536,1.0,1135.0,460.0,116875.0,37.5,350.0,460.0,2023
